industry_name,notification_bucket,notes
3C賣場,消費電子通路,3C 通路與消費電子銷售
IC生產製造,半導體/IC,IC 製造、晶圓與封測相關
IC設計服務,半導體/IC,IC 設計與晶片服務
LED,光電顯示,LED 與光電元件
PCB,電子零組件,印刷電路板
主機板,電腦與AI硬體,主機板與電腦硬體
其他,其他/待分類,資料來源未細分產業
其他光電,光電顯示,其他光電元件或設備
其他網通,網通光通訊,其他網通相關
其他電子,電子零組件,其他電子相關
其他電子或零件,電子零組件,其他電子零件
其他零組件,電子零組件,其他零組件
其他電腦週邊,電腦與AI硬體,其他電腦週邊
光學元件或組裝,光電顯示,光學鏡頭與模組
光電設備,光電顯示,光電設備
半導體,半導體/IC,半導體相關
化學,原物料,化學材料
塑膠,原物料,塑膠原料與製品
太陽能,電力能源,太陽能與新能源
安全監控,安防監控,監控與安防設備
存託憑證,存託憑證,海外存託憑證
居家生活,民生消費,居家生活用品
工業電腦,電腦與AI硬體,工業電腦與邊緣硬體
平板,電腦與AI硬體,平板與行動裝置
手機相關,電腦與AI硬體,手機零組件與裝置
文化創意,民生消費,文創與內容消費
數位雲端,軟體雲端,雲端與數位服務
機殼,AI硬體零組件,機殼與伺服器硬體零組件
橡膠,汽車橡膠,橡膠材料與輪胎相關
水泥,原物料,水泥建材
汽車,汽車橡膠,汽車與車用零組件
油電燃氣,電力能源,公用事業與能源
消費電子或電器,消費電子通路,消費電子與家電
玻璃,原物料,玻璃材料
生技,生技醫療,生技與醫療保健
電子商務,軟體雲端,電子商務平台
系統整合,軟體雲端,系統整合與資訊服務
組裝代工,電腦與AI硬體,電子組裝代工
綠能環保,電力能源,綠能與環保
網通設備組件,網通光通訊,網通設備、光通訊、低軌衛星供應鏈
航運,航運,航運與海運
觀光餐旅,觀光旅遊,觀光、餐飲、旅遊服務
設備或廠務工程,半導體設備工程,半導體建廠、設備、廠務工程
貿易百貨,民生消費,百貨零售與貿易
農業科技業,民生消費,農業科技與食品上游
遊戲軟體,軟體雲端,遊戲與軟體內容
運動休閒,民生消費,運動休閒用品
造紙,原物料,紙漿與造紙
金融,金融,金融服務
金融業,金融,金融服務
鋼鐵,原物料,鋼鐵與金屬材料
電信服務,通訊服務,電信服務
電商,軟體雲端,電子商務平台
電器電纜,電力設備,電線電纜、重電與電網設備
電機,電機機械,電機設備
電機機械,電機機械,電機與機械設備
電子組件買賣,電子零組件,電子零組件通路
電子設備買賣,電子零組件,電子設備通路
電子連接相關,AI硬體零組件,連接器與伺服器硬體零組件
電池或電源,AI硬體零組件,電池、電源與硬體供電模組
電腦週邊配件,電腦與AI硬體,電腦週邊與硬體配件
面板業,光電顯示,面板與顯示器
食品,民生消費,食品與飲料
營建,營建不動產,營建與不動產
紡織,紡織,紡織成衣
被動元件,電子零組件,被動元件
軟體設計,軟體雲端,軟體設計與資訊服務
